frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551359861.800773783,192.168.10.102,192.168.10.104,54465,5683,12,69,0,41501,,
1551359861.801439813,192.168.10.104,192.168.10.102,5683,54465,12,0,2,41501,,
1551359861.802052656,192.168.10.102,192.168.10.105,60398,5683,12,69,0,56142,,
1551359861.802515790,192.168.10.105,192.168.10.102,5683,60398,12,0,2,56142,,
1551359862.804134427,192.168.10.102,192.168.10.104,46367,5683,12,69,0,28112,,
1551359862.805078809,192.168.10.104,192.168.10.102,5683,46367,12,0,2,28112,,
1551359862.805825033,192.168.10.102,192.168.10.105,38205,5683,12,69,0,6367,,
1551359862.806490067,192.168.10.105,192.168.10.102,5683,38205,12,0,2,6367,,
1551359863.807979794,192.168.10.102,192.168.10.104,52516,5683,12,69,0,9046,,
1551359863.808260612,192.168.10.104,192.168.10.102,5683,52516,12,0,2,9046,,
1551359863.808268234,192.168.10.105,192.168.10.102,43562,5683,38,3,0,8853,,/floor_1_light
1551359863.808535521,192.168.10.102,192.168.10.105,47415,5683,12,69,0,64676,,
1551359864.809671116,192.168.10.105,192.168.10.102,5683,47415,12,0,2,64676,,
1551359864.809687099,192.168.10.102,192.168.10.105,5683,43562,12,133,2,8853,,
1551359864.810071459,192.168.10.102,192.168.10.104,46966,5683,12,69,0,8764,,
1551359864.810344124,192.168.10.104,192.168.10.102,5683,46966,12,0,2,8764,,
1551359864.810722747,192.168.10.102,192.168.10.105,38025,5683,12,69,0,20180,,
1551359864.810798137,192.168.10.104,192.168.10.102,45432,5683,29,3,0,9518,,/floor_1_temp
1551359864.810986304,192.168.10.105,192.168.10.102,5683,38025,12,0,2,20180,,
1551359864.811097045,192.168.10.102,192.168.10.104,5683,45432,12,68,2,9518,,
1551359864.811431254,192.168.10.102,192.168.10.104,35129,5683,12,69,0,59691,,
1551359864.811665603,192.168.10.104,192.168.10.102,5683,35129,12,0,2,59691,,
1551359864.812037645,192.168.10.102,192.168.10.105,55105,5683,12,69,0,9692,,
1551359864.812276371,192.168.10.105,192.168.10.102,5683,55105,12,0,2,9692,,
1551359865.814050004,192.168.10.102,192.168.10.104,53868,5683,12,69,0,27944,,
1551359865.814557164,192.168.10.104,192.168.10.102,5683,53868,12,0,2,27944,,
1551359865.815293731,192.168.10.102,192.168.10.105,53906,5683,12,69,0,48380,,
1551359865.815813304,192.168.10.105,192.168.10.102,5683,53906,12,0,2,48380,,
1551359866.817779188,192.168.10.102,192.168.10.104,34810,5683,12,69,0,42845,,
1551359866.818300563,192.168.10.104,192.168.10.102,5683,34810,12,0,2,42845,,
1551359866.818805930,192.168.10.102,192.168.10.105,56358,5683,12,69,0,59071,,
1551359866.819085072,192.168.10.105,192.168.10.102,5683,56358,12,0,2,59071,,
1551359867.820817840,192.168.10.104,192.168.10.102,56532,5683,29,3,0,62144,,/floor_1_temp
1551359867.821014460,192.168.10.102,192.168.10.104,47714,5683,12,69,0,1443,,
1551359868.822612479,192.168.10.104,192.168.10.102,5683,47714,12,0,2,1443,,
1551359868.822835417,192.168.10.102,192.168.10.105,48259,5683,12,69,0,2170,,
1551359868.823509799,192.168.10.105,192.168.10.102,5683,48259,12,0,2,2170,,
1551359868.823732642,192.168.10.102,192.168.10.104,5683,56532,12,68,2,62144,,
1551359868.824608611,192.168.10.102,192.168.10.104,46387,5683,12,69,0,37748,,
1551359868.825013258,192.168.10.104,192.168.10.102,5683,46387,12,0,2,37748,,
1551359868.825716907,192.168.10.102,192.168.10.105,38611,5683,12,69,0,1527,,
1551359868.826206552,192.168.10.105,192.168.10.102,5683,38611,12,0,2,1527,,
1551359869.828240140,192.168.10.102,192.168.10.104,49210,5683,12,69,0,24293,,
1551359869.828830120,192.168.10.104,192.168.10.102,5683,49210,12,0,2,24293,,
1551359869.829591918,192.168.10.102,192.168.10.105,50273,5683,12,69,0,21779,,
1551359869.830123834,192.168.10.105,192.168.10.102,5683,50273,12,0,2,21779,,
1551359870.831573649,192.168.10.102,192.168.10.104,56898,5683,12,69,0,55551,,
1551359870.832034980,192.168.10.104,192.168.10.102,5683,56898,12,0,2,55551,,
1551359870.832338490,192.168.10.102,192.168.10.105,41451,5683,12,69,0,45613,,
1551359870.832675628,192.168.10.105,192.168.10.102,5683,41451,12,0,2,45613,,
1551359871.834625569,192.168.10.102,192.168.10.104,41538,5683,12,69,0,42584,,
1551359871.835226495,192.168.10.104,192.168.10.102,5683,41538,12,0,2,42584,,
1551359871.835266558,192.168.10.105,192.168.10.102,50272,5683,37,3,0,24898,,/floor_1_light
1551359871.836050339,192.168.10.102,192.168.10.105,60084,5683,12,69,0,34563,,
1551359872.836966917,192.168.10.105,192.168.10.102,5683,60084,12,0,2,34563,,
1551359872.837157656,192.168.10.102,192.168.10.105,5683,50272,12,133,2,24898,,
1551359872.837540966,192.168.10.102,192.168.10.104,54273,5683,12,69,0,1493,,
1551359872.837865123,192.168.10.104,192.168.10.102,5683,54273,12,0,2,1493,,
1551359872.838239511,192.168.10.102,192.168.10.105,36843,5683,12,69,0,59865,,
1551359872.838533349,192.168.10.105,192.168.10.102,5683,36843,12,0,2,59865,,
1551359873.839907115,192.168.10.102,192.168.10.104,55729,5683,12,69,0,62833,,
1551359873.840566891,192.168.10.104,192.168.10.102,5683,55729,12,0,2,62833,,
1551359873.841353276,192.168.10.102,192.168.10.105,48310,5683,12,69,0,736,,
1551359873.841895967,192.168.10.105,192.168.10.102,5683,48310,12,0,2,736,,
1551359874.843938070,192.168.10.102,192.168.10.104,58646,5683,12,69,0,13564,,
1551359874.844851323,192.168.10.104,192.168.10.102,5683,58646,12,0,2,13564,,
1551359874.844897645,192.168.10.105,192.168.10.102,39553,5683,38,3,0,15938,,/floor_1_light
1551359874.845756975,192.168.10.102,192.168.10.105,51808,5683,12,69,0,58482,,
1551359875.846462415,192.168.10.102,192.168.10.105,5683,39553,12,133,2,15938,,
1551359875.846662490,192.168.10.105,192.168.10.102,5683,51808,12,0,2,58482,,
1551359875.846934481,192.168.10.102,192.168.10.104,38964,5683,12,69,0,7876,,
1551359875.847238712,192.168.10.104,192.168.10.102,5683,38964,12,0,2,7876,,
1551359875.847671161,192.168.10.102,192.168.10.105,43359,5683,12,69,0,29590,,
1551359875.847930958,192.168.10.105,192.168.10.102,5683,43359,12,0,2,29590,,
1551359876.848731389,192.168.10.102,192.168.10.104,49505,5683,12,69,0,43709,,
1551359876.848930876,192.168.10.104,192.168.10.102,5683,49505,12,0,2,43709,,
1551359876.849207132,192.168.10.102,192.168.10.105,41248,5683,12,69,0,12968,,
1551359876.849258882,192.168.10.104,192.168.10.102,39487,5683,29,3,0,54947,,/floor_1_temp
1551359876.849416864,192.168.10.105,192.168.10.102,5683,41248,12,0,2,12968,,
1551359876.849500118,192.168.10.102,192.168.10.104,5683,39487,12,68,2,54947,,
1551359876.849698091,192.168.10.102,192.168.10.104,59003,5683,12,69,0,46491,,
1551359876.849809884,192.168.10.104,192.168.10.102,5683,59003,12,0,2,46491,,
1551359876.850025270,192.168.10.102,192.168.10.105,32789,5683,12,69,0,15428,,
1551359876.850187193,192.168.10.105,192.168.10.102,5683,32789,12,0,2,15428,,
1551359876.850449130,192.168.10.105,192.168.10.102,41478,5683,37,3,0,18947,,/floor_1_light
1551359876.850503513,192.168.10.102,192.168.10.105,5683,41478,12,133,2,18947,,
1551359876.850681722,192.168.10.102,192.168.10.104,36884,5683,12,69,0,56795,,
1551359876.850961522,192.168.10.104,192.168.10.102,5683,36884,12,0,2,56795,,
1551359876.851221063,192.168.10.102,192.168.10.105,53509,5683,12,69,0,12989,,
1551359876.851419518,192.168.10.105,192.168.10.102,5683,53509,12,0,2,12989,,
1551359877.853085674,192.168.10.102,192.168.10.104,36450,5683,12,69,0,61504,,
1551359877.853499503,192.168.10.104,192.168.10.102,41795,5683,29,3,0,12705,,/floor_1_temp
1551359878.854947466,192.168.10.102,192.168.10.105,40600,5683,12,69,0,40832,,
1551359878.855282726,192.168.10.104,192.168.10.102,5683,36450,12,0,2,61504,,
1551359878.855468756,192.168.10.105,192.168.10.102,5683,40600,12,0,2,40832,,
1551359878.855679316,192.168.10.102,192.168.10.104,5683,41795,12,68,2,12705,,
1551359878.856471910,192.168.10.102,192.168.10.104,50433,5683,12,69,0,39610,,
1551359878.856911697,192.168.10.104,192.168.10.102,33508,5683,29,3,0,9161,,/floor_1_temp
1551359879.857251451,192.168.10.102,192.168.10.105,48026,5683,12,69,0,62728,,
1551359879.857561567,192.168.10.105,192.168.10.102,5683,48026,12,0,2,62728,,
1551359879.857687526,192.168.10.102,192.168.10.104,5683,33508,12,68,2,9161,,
1551359879.858034454,192.168.10.102,192.168.10.104,38603,5683,12,69,0,51998,,
1551359879.858243225,192.168.10.104,192.168.10.102,5683,50433,12,0,2,39610,,
1551359879.858464162,192.168.10.104,192.168.10.102,5683,38603,12,0,2,51998,,
1551359879.858808407,192.168.10.102,192.168.10.105,59014,5683,12,69,0,10004,,
1551359879.859213746,192.168.10.105,192.168.10.102,5683,59014,12,0,2,10004,,
1551359879.859691704,192.168.10.105,192.168.10.102,36463,5683,38,3,0,44675,,/floor_1_light
1551359879.859758292,192.168.10.102,192.168.10.105,5683,36463,12,133,2,44675,,
1551359879.860081904,192.168.10.102,192.168.10.104,50610,5683,12,69,0,32294,,
1551359879.860481653,192.168.10.104,192.168.10.102,5683,50610,12,0,2,32294,,
1551359879.860902713,192.168.10.102,192.168.10.105,53161,5683,12,69,0,21861,,
1551359879.861197988,192.168.10.105,192.168.10.102,5683,53161,12,0,2,21861,,
1551359880.863034075,192.168.10.102,192.168.10.104,37403,5683,12,69,0,24935,,
1551359880.863585379,192.168.10.104,192.168.10.102,5683,37403,12,0,2,24935,,
1551359880.864283520,192.168.10.102,192.168.10.105,41738,5683,12,69,0,11031,,
1551359880.864775733,192.168.10.105,192.168.10.102,5683,41738,12,0,2,11031,,
1551359881.866471062,192.168.10.102,192.168.10.104,56148,5683,12,69,0,46237,,
