frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551283961.419479200,192.168.10.104,192.168.10.102,5683,50139,12,0,2,16189,,
1551283961.419616098,192.168.10.105,192.168.10.102,51928,5683,38,3,0,58675,,/floor_1_light
1551283962.419186734,192.168.10.102,192.168.10.105,5683,51928,12,68,2,58675,,
1551283962.419820227,192.168.10.102,192.168.10.105,48815,5683,12,69,0,491,,
1551283962.419847561,192.168.10.105,192.168.10.102,5683,45933,12,0,2,49396,,
1551283962.420253610,192.168.10.105,192.168.10.102,5683,48815,12,0,2,491,,
1551283962.420811760,192.168.10.102,192.168.10.104,39311,5683,12,69,0,15444,,
1551283962.420970455,192.168.10.104,192.168.10.102,5683,39311,12,0,2,15444,,
1551283963.422246273,192.168.10.102,192.168.10.105,39527,5683,12,69,0,37226,,
1551283963.422780287,192.168.10.102,192.168.10.104,58816,5683,12,69,0,64223,,
1551283963.422791748,192.168.10.105,192.168.10.102,5683,39527,12,0,2,37226,,
1551283963.423309388,192.168.10.104,192.168.10.102,5683,58816,12,0,2,64223,,
1551283964.424679633,192.168.10.102,192.168.10.104,39393,5683,12,69,0,3315,,
1551283964.424870710,192.168.10.102,192.168.10.105,44044,5683,12,69,0,4506,,
1551283964.425149193,192.168.10.104,192.168.10.102,5683,39393,12,0,2,3315,,
1551283964.425431047,192.168.10.105,192.168.10.102,5683,44044,12,0,2,4506,,
1551283965.427195917,192.168.10.102,192.168.10.104,59689,5683,12,69,0,268,,
1551283965.427454817,192.168.10.102,192.168.10.105,44361,5683,12,69,0,58878,,
1551283965.427814588,192.168.10.104,192.168.10.102,5683,59689,12,0,2,268,,
1551283965.427952003,192.168.10.105,192.168.10.102,5683,44361,12,0,2,58878,,
1551283966.429968626,192.168.10.102,192.168.10.104,50260,5683,12,69,0,8098,,
1551283966.430004297,192.168.10.102,192.168.10.105,41156,5683,12,69,0,4370,,
1551283966.430257264,192.168.10.105,192.168.10.102,42431,5683,37,3,0,41384,,/floor_1_light
1551283966.430460168,192.168.10.104,192.168.10.102,5683,50260,12,0,2,8098,,
1551283967.431076612,192.168.10.102,192.168.10.105,5683,42431,12,68,2,41384,,
1551283967.431681183,192.168.10.102,192.168.10.104,41585,5683,12,69,0,62582,,
1551283967.431912488,192.168.10.105,192.168.10.102,5683,41156,12,0,2,4370,,
1551283967.431972755,192.168.10.102,192.168.10.105,56966,5683,12,69,0,12484,,
1551283967.432283516,192.168.10.104,192.168.10.102,5683,41585,12,0,2,62582,,
1551283967.432753462,192.168.10.105,192.168.10.102,60008,5683,38,3,0,64701,,/floor_1_light
1551283968.433249824,192.168.10.102,192.168.10.105,5683,60008,12,68,2,64701,,
